step;validation_loss;optimizer
0;10.911686897277832;AdamW
1000;5.005906105041504;AdamW
2000;4.170328617095947;AdamW
3000;3.889457941055298;AdamW
4000;3.7490034103393555;AdamW
5000;3.6643896102905273;AdamW
6000;3.5989675521850586;AdamW
7000;3.5469970703125;AdamW
8000;3.5195367336273193;AdamW
9000;3.480109214782715;AdamW
10000;3.462141752243042;AdamW
11000;3.4428281784057617;AdamW
12000;3.423452138900757;AdamW
13000;3.4198780059814453;AdamW
14000;3.3991177082061768;AdamW
15000;3.395362138748169;AdamW
16000;3.3712069988250732;AdamW
17000;3.3549370765686035;AdamW
18000;3.353738784790039;AdamW
19000;3.3452706336975098;AdamW
20000;3.322713851928711;AdamW
21000;3.319232702255249;AdamW
22000;3.3144869804382324;AdamW
23000;3.310863733291626;AdamW
24000;3.316135883331299;AdamW
25000;3.2912023067474365;AdamW
26000;3.2999722957611084;AdamW
27000;3.297520399093628;AdamW
28000;3.282219648361206;AdamW
29000;3.2835397720336914;AdamW
30000;3.286940574645996;AdamW
31000;3.2673776149749756;AdamW
32000;3.2670583724975586;AdamW
33000;3.2581839561462402;AdamW
34000;3.254155158996582;AdamW
35000;3.250920057296753;AdamW
36000;3.2503037452697754;AdamW
37000;3.2561347484588623;AdamW
38000;3.247591018676758;AdamW
39000;3.232813835144043;AdamW
40000;3.229088068008423;AdamW
41000;3.2240490913391113;AdamW
42000;3.2166411876678467;AdamW
43000;3.214102268218994;AdamW
44000;3.212531805038452;AdamW
45000;3.214064359664917;AdamW
46000;3.1988372802734375;AdamW
47000;3.1956536769866943;AdamW
48000;3.1975739002227783;AdamW
49000;3.199737548828125;AdamW
50000;3.1843459606170654;AdamW
51000;3.2011067867279053;AdamW
52000;3.1954212188720703;AdamW
53000;3.167015790939331;AdamW
54000;3.1763739585876465;AdamW
55000;3.1648104190826416;AdamW
56000;3.1677510738372803;AdamW
57000;3.1588246822357178;AdamW
58000;3.1694726943969727;AdamW
59000;3.1625473499298096;AdamW
60000;3.144791841506958;AdamW
61000;3.14644718170166;AdamW
62000;3.130342721939087;AdamW
63000;3.146686315536499;AdamW
64000;3.1317083835601807;AdamW
65000;3.1304352283477783;AdamW
66000;3.126474380493164;AdamW
67000;3.109498977661133;AdamW
68000;3.122183322906494;AdamW
69000;3.1355104446411133;AdamW
70000;3.1268601417541504;AdamW
71000;3.098745346069336;AdamW
72000;3.111816167831421;AdamW
73000;3.1014177799224854;AdamW
74000;3.1050636768341064;AdamW
75000;3.092148542404175;AdamW
76000;3.096019983291626;AdamW
77000;3.088818311691284;AdamW
78000;3.0975027084350586;AdamW
79000;3.075761079788208;AdamW
80000;3.0781426429748535;AdamW
81000;3.0675048828125;AdamW
82000;3.065220594406128;AdamW
83000;3.067124128341675;AdamW
84000;3.061638832092285;AdamW
85000;3.061152696609497;AdamW
86000;3.0594468116760254;AdamW
87000;3.0643150806427;AdamW
88000;3.0639138221740723;AdamW
89000;3.065505266189575;AdamW
90000;3.052677631378174;AdamW
91000;3.0290143489837646;AdamW
92000;3.0615949630737305;AdamW
93000;3.0426974296569824;AdamW
94000;3.055792808532715;AdamW
95000;3.0441393852233887;AdamW
96000;3.048494338989258;AdamW
97000;3.0425641536712646;AdamW
98000;3.0363619327545166;AdamW
99000;3.029146671295166;AdamW
100000;3.0324413776397705;AdamW